,number_subjects,hours_per_week_schedule,rate,bio_count,num_popular_subjects,number_degrees,desc_count,welcoming_kw,passion_kw,experience_kw,hours_per_week_estimate,Label
139,13,69,45,144,2,3,5,0,0,0,1.6733067729083666,Low
141,6,75,35,89,5,1,9,0,0,0,0.5338521400778211,Low
142,18,38,55,119,8,1,10,1,0,0,3.908590308370044,High
143,45,117,180,357,19,2,12,0,0,0,2.1563758389261745,High
144,20,21,50,304,1,3,9,0,0,0,1.1618257261410787,Low
145,4,50,45,365,2,2,8,0,1,0,3.5,High
147,11,65,65,74,10,3,6,0,0,1,0.5376,Low
148,7,77,30,137,5,2,8,0,1,1,3.4406779661016946,High
149,17,112,130,284,9,2,8,1,0,0,0.8231451236584229,Low
150,23,43,60,202,18,3,4,1,1,1,1.9162995594713652,Low
151,6,70,30,122,5,1,4,0,0,1,0.9730693069306932,Low
154,8,44,20,319,6,1,8,0,0,0,2.516032811334825,High
155,10,28,70,252,7,2,9,0,0,1,0.8368200836820083,Low
158,6,77,80,137,2,2,8,0,0,0,3.055045871559633,High
161,7,66,35,240,7,2,2,0,0,1,3.8362989323843415,High
164,22,63,39,238,0,1,8,0,0,0,1.575078440161363,Low
165,32,39,95,166,0,1,10,1,1,0,6.165137614678898,High
166,25,84,60,349,5,1,9,0,0,1,6.2098821396192205,High
167,6,30,60,266,1,1,8,1,0,1,1.5753424657534243,Low
168,15,70,120,318,10,3,4,0,0,1,0.8528735632183908,Low
169,24,70,50,141,11,2,8,0,0,1,2.9277108433734935,High
171,7,84,30,329,0,3,5,1,1,0,1.2270916334661357,Low
172,4,36,60,109,0,2,8,0,0,0,11.714285714285715,High
174,9,78,50,252,2,2,5,0,0,0,1.915365653245686,Low
175,8,98,40,180,4,1,8,0,0,0,21.897435897435894,High
176,18,85,40,240,2,2,4,0,0,1,2.7129888268156424,High
177,8,54,100,175,1,2,13,0,0,0,6.946745562130178,High
179,13,91,40,331,5,3,12,0,0,0,2.608695652173913,High
181,9,168,15,151,9,1,6,1,0,0,11.666666666666668,High
182,38,56,40,285,6,1,13,1,1,1,5.055072463768116,High
183,12,35,25,162,7,1,2,1,1,0,1.2797202797202798,Low
184,6,84,50,167,6,2,8,0,0,0,4.941176470588236,High
185,21,36,35,252,2,2,8,0,0,0,2.5554265815438186,High
187,27,12,20,91,18,2,4,0,0,1,2.971672487388436,High
188,8,113,35,322,6,1,9,0,0,0,8.065217391304348,High
189,10,70,48,319,6,1,6,1,0,0,7.790322580645161,High
190,10,69,28,272,7,1,8,0,0,1,0.7764084507042254,Low
191,15,84,60,349,0,2,10,0,0,1,3.907232704402516,High
192,34,154,80,211,8,3,13,0,0,0,5.392829900839053,High
193,15,98,60,344,2,1,8,1,1,0,9.672628304821153,High
194,33,86,65,164,8,3,7,0,0,0,0.6516129032258065,Low
195,10,50,20,205,3,1,7,1,0,1,1.7571780147662015,Low
196,14,55,50,205,0,2,8,1,1,0,0.8473351400180669,Low
197,29,24,50,264,19,2,8,0,0,1,2.8860887096774195,High
200,13,24,30,149,0,1,8,0,1,0,2.7825,High
203,8,52,25,295,0,0,6,0,1,0,5.647058823529411,High
205,10,36,75,170,0,1,9,1,0,1,8.64359637774903,High
207,16,98,40,123,6,1,2,0,0,1,2.888675623800384,High
208,17,87,55,338,6,2,6,0,0,0,2.174757281553398,High
209,25,91,45,333,6,3,10,0,1,0,1.1108580106302202,Low
210,7,66,35,288,1,3,5,1,1,0,1.389830508474576,Low
211,14,28,50,97,11,2,8,0,0,0,1.2315789473684209,Low
212,43,62,40,224,24,2,6,0,0,1,2.869545032497679,High
213,30,91,120,343,6,1,4,0,0,1,10.112740989103102,High
214,22,93,70,178,15,1,7,0,0,1,1.6190155091031693,Low
216,23,49,80,303,18,0,8,1,0,0,1.3098745226404802,Low
220,20,98,50,268,14,1,10,0,0,0,0.5073765234124439,Low
222,17,124,40,292,10,1,7,0,0,0,7.0,High
223,4,55,35,150,4,2,12,0,0,0,0.8981670061099797,Low
224,70,69,68,105,0,1,6,0,0,0,11.881824234354196,High
225,44,105,50,335,20,1,10,0,1,1,0.8913159296750133,Low
226,30,42,45,304,17,2,4,0,0,0,1.5374493927125503,Low
227,6,53,32,116,1,2,9,0,0,0,1.0104772991850992,Low
228,10,105,100,341,2,2,10,1,0,1,6.931707317073172,High
229,9,28,40,100,9,1,4,0,0,0,1.218430034129693,Low
230,7,80,30,345,0,1,4,1,0,1,1.3529411764705883,Low
231,14,54,35,126,5,2,10,0,0,0,2.3905502392344498,High
232,5,60,30,213,1,2,3,1,0,0,1.0252525252525253,Low
233,11,148,89,281,8,1,9,1,1,1,9.3296266878475,High
236,12,104,30,358,0,1,7,1,0,0,6.02,High
237,37,56,55,61,24,2,8,0,0,0,7.961850936064994,High
238,27,94,40,108,4,3,10,0,0,0,5.332601536772778,High
239,7,39,60,146,2,3,8,0,0,0,1.8421052631578947,Low
240,8,104,50,215,6,1,9,0,0,0,2.3403773584905663,High
241,41,168,34,332,16,1,8,0,0,0,0.9468599033816424,Low
242,12,98,50,198,1,1,9,1,1,1,2.424124513618677,High
243,8,12,50,115,6,3,6,1,1,0,1.4207279457125233,Low
244,12,65,40,88,8,3,4,1,0,0,1.0622154779969648,Low
245,10,20,59,250,0,1,7,0,0,1,0.9439528023598821,Low
246,12,87,75,344,3,2,10,1,1,1,0.8666666666666667,Low
247,17,20,40,267,9,1,10,1,0,0,1.0840197693574958,Low
248,14,74,30,155,4,2,9,0,0,0,4.155725922376616,High
249,29,98,48,261,0,1,5,0,0,1,6.168734491315137,High
251,8,37,40,361,3,1,3,1,0,0,3.15,High
252,35,88,32,247,22,1,8,0,0,0,22.68869795109055,High
253,46,68,65,319,5,2,8,0,0,0,0.8793532338308458,Low
255,16,65,100,325,8,3,3,0,0,1,4.076732673267327,High
256,4,40,60,161,3,2,9,1,1,0,1.3708523096942096,Low
257,19,34,50,329,0,2,7,0,1,1,0.6516314779270633,Low
258,31,79,50,341,1,2,11,0,0,0,17.921161825726138,High
259,14,112,50,157,9,2,10,0,0,0,1.4247787610619467,Low
260,20,72,60,185,1,3,7,0,0,0,1.6083238312428734,Low
261,23,75,90,268,0,3,9,0,0,0,2.6703890489913547,High
262,5,81,20,323,0,1,11,1,1,1,2.7487804878048783,High
263,25,85,65,113,3,2,6,1,0,0,7.920602605863192,High
264,16,55,75,325,12,2,10,0,0,0,2.2194343065693434,High
265,19,81,60,223,5,3,8,1,0,0,1.556446991404011,Low
266,17,44,60,241,6,1,8,1,0,1,1.18798955613577,Low
267,38,112,45,340,23,2,7,0,0,1,5.603416717510678,High
268,14,42,45,174,5,1,5,0,0,0,0.5100316789862724,Low
269,7,70,35,238,4,1,9,1,0,0,3.289156626506024,High
270,20,65,60,174,11,2,6,0,0,0,1.2528409090909092,Low
271,12,98,25,337,5,2,4,1,0,0,1.5217391304347825,Low
273,14,36,35,234,1,2,5,1,0,1,3.6229575163398695,High
275,14,10,50,120,11,2,7,1,1,1,0.9002217294900221,Low
276,9,34,100,164,3,2,6,0,0,0,1.203125,Low
277,31,55,45,181,21,1,10,0,0,0,2.7406405051871903,High
278,8,32,60,335,2,3,3,0,0,0,0.8380566801619433,Low
279,13,20,65,290,2,3,8,0,0,0,0.7630331753554502,Low
280,11,105,100,292,0,2,11,1,0,1,4.215909090909091,High
281,14,83,40,154,9,1,9,0,0,0,1.6,Low
284,21,49,25,369,7,2,5,0,0,1,0.8878048780487805,Low
287,15,16,35,159,13,1,6,1,0,0,2.3842794759825328,High
288,12,96,25,193,8,1,7,0,0,0,4.322500000000002,High
290,6,91,55,232,0,3,8,0,0,0,2.7778495318049727,High
291,5,71,55,232,0,3,7,1,0,1,9.857881136950905,High
293,15,43,20,190,2,2,9,0,0,0,6.75,High
294,18,40,65,156,8,2,7,0,0,0,1.5955882352941175,Low
295,10,91,45,184,6,2,4,1,1,0,0.9794520547945204,Low
297,11,52,35,137,4,1,7,0,0,0,0.9724550898203592,Low
298,9,21,50,295,3,3,12,1,0,0,0.8324324324324325,Low
299,8,72,50,272,2,2,5,1,0,0,4.488282750672301,High
300,6,119,60,166,0,2,7,0,0,0,5.725085910652921,High
301,11,83,35,359,1,1,7,0,0,1,1.2774303581580444,Low
302,50,168,50,176,7,2,9,1,1,0,8.588547189819725,High
303,16,27,50,165,8,2,11,0,0,0,2.4858022579541568,High
309,35,103,50,106,17,2,10,0,0,1,7.2243589743589745,High
310,11,39,54,241,6,2,5,1,1,0,0.7996083550913838,Low
311,8,52,30,185,0,1,6,1,0,0,6.1923076923076925,High
312,39,32,60,190,15,2,11,0,0,0,1.2418823529411764,Low
313,11,49,15,346,9,1,10,1,0,0,3.31578947368421,High
315,21,28,70,207,10,2,11,1,0,0,1.261494252873563,Low
316,12,12,75,222,7,3,4,0,0,0,1.0173829068083051,Low
317,18,34,48,273,3,2,9,1,1,1,1.8981069042316256,Low
318,3,40,60,291,2,1,6,0,0,0,0.5231958762886598,Low
320,17,84,50,311,1,2,10,0,0,0,5.586612725266641,High
321,8,86,30,229,0,2,6,0,0,1,1.501403705783268,Low
324,9,73,45,320,2,2,2,1,0,0,2.08,High
325,21,72,90,304,11,2,12,1,1,0,1.0252707581227436,Low
326,7,18,40,140,5,2,3,1,0,0,0.9394736842105263,Low
327,44,61,75,350,16,3,4,0,1,0,16.473948524795986,High
328,22,70,60,111,8,2,7,0,0,0,0.6553540081919251,Low
330,15,74,50,191,7,1,8,0,0,0,0.7220528455284553,Low
332,22,72,50,266,7,2,5,0,0,0,3.1572894000621696,High
334,14,105,100,140,11,1,5,1,1,0,5.072115384615384,High
335,21,51,50,162,15,3,4,1,0,1,0.5982721382289417,Low
337,6,70,40,124,1,2,6,0,0,0,2.32066594281578,High
338,2,70,40,314,1,3,9,1,1,0,1.836994219653179,Low
339,10,96,50,149,8,1,11,1,1,0,2.5207138304652648,High
340,12,84,100,309,10,2,7,0,0,0,1.0357142857142856,Low
341,3,80,30,265,3,2,8,0,0,0,1.0373873873873876,Low
342,2,60,40,326,1,2,4,0,0,0,2.363128491620112,High
343,26,76,50,341,16,1,12,1,0,0,4.007173601147777,High
346,34,70,80,306,28,1,9,0,0,1,4.809326424870466,High
348,32,62,35,291,3,3,9,1,1,0,2.844650205761317,High
349,18,85,55,180,0,3,8,0,0,0,2.1345595353339784,High
351,4,59,20,213,4,2,10,0,0,1,1.8881578947368418,Low
353,4,84,40,317,1,2,8,0,0,1,3.808823529411765,High
354,16,97,40,207,0,1,13,1,0,0,7.324449594438008,High
355,25,54,55,352,13,2,12,1,1,0,5.850340136054423,High
357,13,168,60,189,8,2,7,0,1,1,3.975308641975309,High
358,9,70,50,362,1,2,7,1,1,0,1.3864734299516908,Low
359,11,15,50,135,5,2,6,1,0,0,1.1818973020017407,Low
361,11,42,30,217,2,3,8,0,1,0,6.7,High
363,41,51,35,270,18,1,7,1,1,0,1.6592592592592594,Low
364,5,31,43,282,2,1,9,1,1,0,0.6519607843137255,Low
365,4,35,60,236,1,2,10,0,0,0,1.4278606965174128,Low
366,29,98,60,312,17,3,10,1,0,0,1.8697068403908796,Low
367,7,52,50,214,0,3,9,0,0,0,1.0314009661835748,Low
369,7,63,35,372,1,1,7,1,0,0,13.0,High
370,19,119,65,302,11,2,3,0,1,0,1.0108208955223879,Low
371,16,33,40,331,0,3,6,0,0,1,2.203497615262321,High
372,4,72,45,208,0,1,10,0,0,0,0.9271523178807948,Low
373,19,57,20,345,1,3,6,1,0,0,3.4643584521384927,High
374,29,78,40,163,21,2,6,0,0,0,0.7389202256244964,Low
375,10,66,80,327,7,1,5,0,1,0,1.205020920502092,Low
376,18,37,60,367,8,2,5,0,0,0,0.5798816568047338,Low
377,18,4,40,220,7,2,9,1,1,1,1.3490909090909091,Low
